pathway_id	pathway_name	gene_id
DETOX1-PWY	superoxide radicals degradation	GRMZM2G137839
DETOX1-PWY	superoxide radicals degradation	GRMZM2G090568
DETOX1-PWY	superoxide radicals degradation	apx2
DETOX1-PWY	superoxide radicals degradation	GRMZM2G150356
DETOX1-PWY	superoxide radicals degradation	GRMZM2G079348
DETOX1-PWY	superoxide radicals degradation	GRMZM2G460406
DETOX1-PWY	superoxide radicals degradation	GRMZM2G088212
DETOX1-PWY	superoxide radicals degradation	GRMZM2G093346
DETOX1-PWY	superoxide radicals degradation	GRMZM2G316256
DETOX1-PWY	superoxide radicals degradation	GRMZM2G054300
DETOX1-PWY	superoxide radicals degradation	GRMZM2G004211
DETOX1-PWY	superoxide radicals degradation	GRMZM2G165844
CYANCAT-PWY	cyanate degradation	GRMZM2G113191
CYANCAT-PWY	cyanate degradation	GRMZM2G113165
CYANCAT-PWY	cyanate degradation	GRMZM2G414528
CYANCAT-PWY	cyanate degradation	GRMZM2G088208
CYANCAT-PWY	cyanate degradation	GRMZM2G024495
CYANCAT-PWY	cyanate degradation	GRMZM5G807267
CYANCAT-PWY	cyanate degradation	GRMZM2G121878
CYANCAT-PWY	cyanate degradation	GRMZM2G348512
CYANCAT-PWY	cyanate degradation	GRMZM2G046924
CYANCAT-PWY	cyanate degradation	GRMZM2G164182
CYANCAT-PWY	cyanate degradation	GRMZM2G087259
CYANCAT-PWY	cyanate degradation	GRMZM2G037177
CYANCAT-PWY	cyanate degradation	GRMZM2G145101
CYANCAT-PWY	cyanate degradation	GRMZM2G094165
CYANCAT-PWY	cyanate degradation	GRMZM2G140885
CYANCAT-PWY	cyanate degradation	GRMZM2G009633
CYANCAT-PWY	cyanate degradation	GRMZM2G134747
PWY-5456	methylglyoxal degradation VII	GRMZM2G027336
PWY-5456	methylglyoxal degradation VII	GRMZM2G458607
PWY-5456	methylglyoxal degradation VII	GRMZM2G063733
PWY-5456	methylglyoxal degradation VII	GRMZM2G172574
PWY0-1299	arginine dependent acid resistance	GRMZM2G374302
PWY0-1299	arginine dependent acid resistance	GRMZM2G396553
PWY0-1305	glutamate dependent acid resistance	GRMZM5G826838
PWY0-1305	glutamate dependent acid resistance	GRMZM2G017110
PWY0-1305	glutamate dependent acid resistance	GRMZM2G101069
PWY0-1305	glutamate dependent acid resistance	GRMZM2G098875
PWY0-1305	glutamate dependent acid resistance	GRMZM2G355906
ASPSYNII-PWY	cyanide detoxification	GRMZM2G036708
ASPSYNII-PWY	cyanide detoxification	GRMZM2G111225
ASPSYNII-PWY	cyanide detoxification	GRMZM2G178517
ARGSPECAT-PWY	spermine biosynthesis	GRMZM2G060896
ARGSPECAT-PWY	spermine biosynthesis	GRMZM2G120578
ARGSPECAT-PWY	spermine biosynthesis	GRMZM2G047867
ARGSPECAT-PWY	spermine biosynthesis	GRMZM2G154397
ARGSPECAT-PWY	spermine biosynthesis	GRMZM2G366392
ARGSPECAT-PWY	spermine biosynthesis	IDP754
ARGSPECAT-PWY	spermine biosynthesis	GRMZM2G060369
ARGSPECAT-PWY	spermine biosynthesis	GRMZM2G125635
ARGSPECAT-PWY	spermine biosynthesis	GRMZM2G137942
PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)	GRMZM2G374302
PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)	GRMZM2G396553
PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)	GRMZM2G174671
PWY0-823	arginine degradation III (arginine decarboxylase/agmatinase pathway)	GRMZM5G831308
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G064163
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G060896
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G120578
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G051771
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G047867
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G154397
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	GRMZM2G366392
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	IDP754
